N;points_per_direction;target;gen_type;ocl_time;cpu_time;check;diff_norm
256;16;CPU;1;0.000158;3.4e-05;0;1
256;16;CPU;2;0.000201;0.000406;0;1
1024;32;CPU;1;0.0002;2.7e-05;0;1
1024;32;CPU;2;0.000598;0.001912;0;1
2304;48;CPU;1;0.000189;6.2e-05;0;1
2304;48;CPU;2;0.00116;0.005111;0;1
4096;64;CPU;1;0.000155;7.8e-05;0;1
4096;64;CPU;2;0.002061;0.010369;0;1
9216;96;CPU;1;0.000182;0.000166;0;1
9216;96;CPU;2;0.004878;0.027552;0;1
16384;128;CPU;1;0.000218;0.000288;0;1
16384;128;CPU;2;0.009064;0.049479;0;1
20736;144;CPU;1;0.000276;0.000374;0;1
20736;144;CPU;2;0.010852;0.066855;0;1
25600;160;CPU;1;0.00025;0.000504;0;1
25600;160;CPU;2;0.014315;0.089115;0;1
